A1,A2,A3,A4,A5,time
34,24.12,24.12,23.73,297
23.44,23.63,24.02,24.22,23.73,333
23.44,23.34,23.93,24.22,23.6323.34,23.34,23.83,23.93,23.44,2
23.34,23.34,23.93,23.93,23.34,8
23.34,23.34,23.93,24.02,23.54,15
23.24,23.44,24.02,23.93,23.34,45
23.24,23.24,23.83,24.12,23.34,79
23.24,23.24,23.83,24.02,23.44,115
23.44,23.24,24.02,24.12,23.44,151
23.34,23.54,23.93,24.12,23.44,188
23.34,23.34,23.93,24.12,23.44,224
23.44,23.24,23.93,24.12,23.44,261
23.24,23.34,23.73,24.22,23.24,297
23.34,23.24,23.73,24.12,23.44,333
23.54,23.34,23.73,24.12,23.24,370
23.34,23.24,23.83,24.02,23.34,406
23.34,23.34,23.83,24.12,23.44,443
23.34,23.44,23.83,24.02,23.44,479
23.34,23.34,23.83,24.12,23.24,516
23.24,23.24,23.93,23.93,23.44,551
23.24,23.24,23.73,24.12,23.34,588
23.44,23.24,23.83,24.12,23.34,624
23.54,23.34,24.02,24.02,23.44,661
23.24,23.34,23.83,24.22,23.24,698
23.34,23.44,23.83,24.22,23.44,734
23.24,23.24,23.83,24.02,23.44,771
23.34,23.24,23.73,24.02,23.34,806
23.44,23.34,23.73,24.12,23.44,843
23.34,23.34,23.93,24.22,23.24,879
23.24,23.24,23.93,24.02,23.34,916
23.44,23.34,23.83,24.22,23.54,952
23.34,23.34,23.83,24.02,23.44,989
23.24,23.34,23.93,24.22,23.44,1026
23.24,23.34,23.83,24.02,23.34,1062
23.34,23.24,23.83,24.12,23.44,1100
23.24,23.24,23.73,24.02,23.34,1137
23.24,23.34,23.93,24.22,23.24,1175
23.44,23.34,23.93,24.22,23.54,1212
23.44,23.34,23.83,24.12,23.24,1250
23.34,23.24,23.83,24.12,23.44,1287
23.34,23.34,23.83,24.12,23.44,1325
23.44,23.24,23.83,24.12,23.44,1362
23.24,23.34,23.83,24.12,23.34,1399
23.34,23.24,23.83,23.93,23.54,1437
23.34,23.34,23.73,24.12,23.44,1474
23.44,23.24,23.73,24.12,23.54,1512
23.34,23.44,23.93,24.22,23.34,1549
23.54,23.24,24.02,23.93,23.44,1587
23.24,23.24,23.93,24.12,23.34,1625
23.44,23.24,23.73,24.12,23.34,1661
23.34,23.24,23.73,24.02,23.34,1699
23.44,23.34,23.93,24.12,23.44,1736
23.34,23.34,23.83,24.12,23.24,1774
23.54,23.24,23.73,24.02,23.24,1811
23.34,23.34,23.83,24.02,23.34,1849
23.44,23.34,23.93,24.02,23.34,1886
23.24,23.24,23.83,24.22,23.24,1924
23.44,23.24,23.73,24.02,23.34,1961
23.24,23.34,23.83,24.02,23.34,1998
23.24,23.24,23.73,24.12,23.44,2036
23.24,23.24,23.93,24.02,23.34,2073
23.24,23.24,23.93,23.93,23.44,2111
23.34,23.34,23.73,23.93,23.34,2148
23.34,23.34,23.83,24.02,23.34,2186
23.34,23.24,23.83,23.93,23.24,2224
23.24,23.34,23.83,24.12,23.34,2260
23.24,23.34,23.73,23.93,23.34,2298
23.34,23.44,23.83,24.12,23.34,2335
23.34,23.34,23.93,24.02,23.24,2373
23.54,23.24,23.93,24.12,23.34,2410
23.24,23.34,23.83,24.12,23.44,2448
23.24,23.34,23.83,24.12,23.24,2485
23.34,23.24,23.83,23.83,23.34,2523
23.34,23.34,23.93,24.12,23.44,2561
23.24,23.44,23.83,24.02,23.24,2597
23.34,23.24,23.93,24.12,23.24,2635
23.34,23.34,23.83,24.12,23.34,2672
23.34,23.34,23.73,24.12,23.34,2710
23.44,23.24,23.83,23.93,23.24,2747
23.34,23.34,23.83,23.93,23.34,2785
23.24,23.34,23.73,24.12,23.34,2823
23.24,23.24,23.83,24.02,23.34,2860
23.24,23.24,23.93,24.02,23.24,2897
23.44,23.34,23.83,24.02,23.24,2934
23.34,23.24,23.73,23.93,23.34,2972
23.34,23.24,23.93,24.22,23.34,3009
23.34,23.24,23.93,24.12,23.24,3047
23.24,23.34,23.83,24.02,23.44,3084
23.34,23.24,23.93,23.83,23.24,3122
23.34,23.24,23.83,24.02,23.34,3160
23.34,23.24,24.02,24.02,23.34,3196
23.34,23.34,23.83,24.12,23.34,3234
23.24,23.34,23.73,24.02,23.54,3271
23.34,23.24,23.73,24.12,23.24,3309
23.24,23.34,23.93,24.12,23.34,3346
23.34,23.34,23.93,24.02,23.24,3384
23.34,23.24,23.73,24.12,23.24,3422
23.44,23.34,23.83,24.02,23.54,3459
23.24,23.24,23.83,24.02,23.24,3496
23.34,23.34,23.93,24.02,23.54,3533
23.44,23.44,23.93,23.83,23.24,3571
23.44,23.24,23.83,24.12,23.44,3608
23.24,23.34,23.83,23.93,23.34,3646
23.24,23.24,23.93,24.02,23.34,3683
23.24,23.34,24.02,24.02,23.24,3721
23.24,23.24,23.73,23.93,23.34,3759
23.34,23.24,23.83,23.83,23.24,3795
23.14,23.24,23.83,23.93,23.34,3833
23.24,23.24,23.83,24.12,23.24,3870
23.24,23.24,23.93,24.02,23.34,3908
23.24,23.24,23.83,23.93,23.24,3945
23.24,23.24,23.83,23.73,23.24,3983
23.24,23.24,23.83,24.22,23.34,4021
23.24,23.44,23.83,23.93,23.24,4058
23.34,23.24,23.93,23.93,23.34,4096
23.24,23.24,23.93,23.73,23.24,4132
23.24,23.24,23.83,23.93,23.24,4170
23.24,23.34,23.83,23.93,23.24,4207
23.24,23.34,23.73,24.02,23.34,4245
23.34,23.24,23.93,23.93,23.34,4282
23.24,23.34,23.83,24.02,23.34,4320
23.24,23.34,23.93,23.83,23.24,4358
23.24,23.34,23.83,24.02,23.44,4395
23.24,23.24,23.73,23.83,23.24,4432
23.34,23.34,23.83,23.83,23.34,4469
23.24,23.24,23.93,23.73,23.44,4507
23.24,23.34,23.73,24.02,23.34,4544
23.24,23.34,24.02,23.93,23.24,4582
23.34,23.24,23.93,23.73,23.24,4620
23.24,23.24,23.83,23.83,23.24,4657
23.24,23.34,23.83,24.02,23.34,4695
23.24,23.24,23.73,23.83,23.24,4731
23.34,23.34,23.83,23.83,23.34,4769
23.34,23.34,23.83,23.93,23.24,4806
23.44,23.34,24.02,23.83,23.44,4844
23.24,23.34,23.83,23.83,23.34,4881
23.24,23.24,23.83,23.93,23.54,4919
23.24,23.24,23.73,23.93,23.24,4957
23.24,23.44,23.73,24.12,23.34,4994
23.24,23.34,23.93,23.83,23.34,5031
23.24,23.34,23.83,23.73,23.24,5068
23.24,23.24,23.73,24.02,23.24,5106
23.24,23.24,23.83,23.83,23.24,5143
23.34,23.24,23.83,23.73,23.24,5181
23.14,23.34,23.93,23.93,23.24,5219
23.24,23.34,23.73,23.83,23.24,5256
23.34,23.24,23.83,23.83,23.24,5294
23.24,23.24,23.73,23.83,23.34,5330
23.24,23.34,23.83,23.83,23.14,5368
23.24,23.24,23.93,23.83,23.24,5405
23.24,23.34,23.73,23.83,23.34,5443
23.24,23.44,23.83,23.83,23.24,5480
23.24,23.24,23.83,23.93,23.24,5518
23.24,23.34,23.93,23.93,23.24,5556
23.24,23.24,23.73,23.83,23.24,5593
23.24,23.44,23.83,23.93,23.24,5630
23.24,23.34,23.93,24.02,23.24,5667
23.34,23.24,23.83,23.93,23.34,5705
23.24,23.24,23.83,23.73,23.34,5742
23.24,23.24,23.83,23.93,23.24,5780
23.34,23.34,23.83,23.83,23.24,5818
23.24,23.24,23.83,23.83,23.24,5855
23.24,23.24,23.93,23.93,23.24,5893
23.44,23.34,23.83,23.93,23.24,5929
23.34,23.34,23.83,23.73,23.24,5967
23.14,23.24,23.93,23.73,23.34,6004
23.24,23.34,23.83,23.73,23.24,6042
23.24,23.34,23.73,23.83,23.34,6079
23.14,23.24,23.83,23.83,23.24,6117
23.24,23.24,23.83,23.93,23.24,6155
23.14,23.34,23.83,23.83,23.24,6192
23.34,23.54,23.93,24.02,23.24,6230
23.24,23.34,23.73,23.93,23.24,6266
23.24,23.24,23.93,23.93,23.24,6304
23.14,23.24,23.83,23.73,23.24,6341
23.24,23.44,23.93,23.93,23.24,6379
23.24,23.24,23.83,23.83,23.24,6417
23.24,23.24,23.93,23.73,23.24,6454
23.14,23.24,23.83,23.83,23.24,6492
23.24,23.24,23.83,23.83,23.34,6529
23.24,23.34,23.83,23.73,23.24,6566
23.24,23.24,23.73,23.83,23.24,6603
23.24,23.34,23.93,23.83,23.34,6641
23.24,23.24,23.93,23.83,23.24,6678
23.24,23.34,23.83,23.73,23.24,6716
23.24,23.44,23.73,23.93,23.24,6754
23.24,23.34,23.83,23.73,23.24,6791
23.24,23.34,23.83,23.93,23.34,6829
23.24,23.34,23.83,23.83,23.24,6865
23.34,23.24,23.73,23.93,23.24,6903
23.24,23.24,23.73,23.83,23.24,6940
23.34,23.24,23.93,24.02,23.24,6978
23.24,23.24,23.73,23.83,23.24,7016
23.24,23.34,23.93,23.93,23.34,7053
23.24,23.34,23.73,23.73,23.24,7091
23.24,23.24,24.02,23.73,23.24,7128
23.24,23.24,23.83,23.73,23.24,7165
23.24,23.34,23.83,23.93,23.44,7202
23.14,23.34,23.83,23.83,23.24,7240
23.24,23.24,23.83,23.93,23.34,7277
23.24,23.24,23.73,23.73,23.24,7315
23.24,23.34,23.73,23.93,23.24,7353
23.24,23.24,23.73,23.83,23.34,7390
23.34,23.24,23.73,23.93,23.24,7428
23.24,23.24,23.73,23.83,23.34,7464
23.14,23.44,23.83,23.83,23.24,7502
23.34,23.34,23.73,23.73,23.24,7539
23.24,23.34,23.73,24.02,23.24,7577
23.24,23.34,23.83,23.83,23.24,7615
23.24,23.34,23.83,23.93,23.24,7652
23.24,23.24,23.83,23.93,23.24,7690
23.24,23.34,23.83,23.83,23.34,7727
23.24,23.24,23.83,23.83,23.24,7764
23.24,23.24,23.73,23.83,23.24,7801
23.24,23.44,23.83,23.83,23.34,7839
23.24,23.24,23.93,23.73,23.24,7876
23.24,23.34,23.83,23.73,23.44,7914
23.24,23.24,23.73,23.93,23.24,7952
23.24,23.24,23.73,23.83,23.34,7989
23.14,23.24,23.83,23.83,23.24,8027
23.24,23.24,23.83,23.93,23.34,8064
23.24,23.24,23.83,23.83,23.24,8101
23.34,23.34,23.73,23.83,23.24,8138
23.24,23.24,23.83,23.93,23.24,8176
23.24,23.34,23.83,23.83,23.24,8214
23.24,23.34,23.83,23.93,23.24,8251
23.34,23.24,23.73,23.93,23.24,8289
23.14,23.24,23.73,23.93,23.24,8326
23.44,23.34,23.83,23.93,23.24,8364
23.24,23.34,23.73,23.83,23.34,8400
23.14,23.24,23.83,23.93,23.24,8438
23.24,23.24,23.93,23.93,23.24,8475
23.34,23.34,23.93,23.93,23.24,8513
23.34,23.24,23.73,23.93,23.34,8551
23.44,23.24,23.73,24.02,23.24,8588
23.14,23.24,23.73,23.73,23.24,8626
23.24,23.34,23.83,24.22,23.34,8663
23.24,23.24,23.93,23.83,23.24,8700
23.34,23.24,23.73,24.02,23.44,8737
23.24,23.24,24.12,23.73,23.24,8775
23.24,23.34,23.93,23.83,23.24,8813
23.24,23.24,23.93,23.93,23.24,8850
23.24,23.24,23.83,24.02,23.24,8888
23.24,23.34,23.83,23.83,23.24,8925
23.24,23.24,23.73,23.93,23.24,8963
23.24,23.24,23.93,23.83,23.24,8999
23.34,23.34,24.02,23.83,23.24,9037
23.24,23.34,23.83,23.73,23.34,9074
23.24,23.34,23.83,23.83,23.34,9112
23.24,23.24,23.93,23.73,23.24,9150
23.24,23.24,23.83,24.02,23.24,9187
23.24,23.34,23.83,23.83,23.24,9225
23.24,23.44,23.83,23.83,23.34,9262
23.24,23.24,23.73,23.83,23.24,9299
23.24,23.54,24.02,23.93,23.24,9336
23.24,23.24,23.83,23.73,23.34,9374
23.34,23.24,23.73,24.12,23.24,9412
23.24,23.34,23.73,23.73,23.24,9449
23.24,23.34,23.93,24.02,23.24,9487
23.24,23.24,23.83,23.83,23.24,9524
23.24,23.24,24.02,23.93,23.24,9562
23.24,23.24,23.83,23.73,23.24,9598
23.24,23.34,23.83,23.83,23.24,9636
23.34,23.24,23.93,23.73,23.34,9673
23.24,23.34,23.93,23.93,23.34,9711
23.24,23.34,23.83,23.73,23.24,9749
23.24,23.34,23.83,23.73,23.34,9786
23.24,23.24,23.83,23.83,23.24,9824
23.24,23.24,23.93,23.93,23.24,9861
23.14,23.24,23.73,23.93,23.24,9899
23.24,23.24,23.83,23.73,23.24,9935
23.24,23.24,23.83,23.73,23.34,9973
23.24,23.34,23.93,23.73,23.34,10011
23.34,23.44,23.73,24.02,23.24,10049
23.24,23.24,23.73,24.02,23.34,10088
23.24,23.34,23.83,23.73,23.34,10126
23.14,23.34,23.73,23.83,23.24,10165
23.24,23.44,23.73,23.83,23.24,10203
23.14,23.24,23.73,23.73,23.24,10242
23.24,23.34,23.83,23.83,23.24,10280
23.24,23.24,23.93,23.83,23.14,10318
