A1,A2,A3,A4,A5,heat,time,,,,,,,,
19.82,19.14,19.73,20.21,19.24,0,3,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.14,19.82,20.21,19.43,0,9,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.92,20.31,19.43,0,15,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.21,19.43,0,51,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.43,0,89,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.24,19.82,20.31,19.43,0,125,,,,,,,,
,,,,,,,,,,,,,,
19.73,19.34,19.73,20.31,19.34,0,164,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.43,19.82,20.31,19.34,0,202,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.63,0,241,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.53,0,280,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.43,0,318,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.34,0,357,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.34,0,395,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.43,19.82,20.31,19.34,0,434,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.34,0,473,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.51,19.34,0,510,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.43,0,549,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.34,0,587,,,,,,,,
,,,,,,,,,,,,,,
19.73,19.34,19.82,20.31,19.34,0,626,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.43,0,664,,,,,,,,
,,,,,,,,,,,,,,
19.73,19.53,19.82,20.41,19.43,0,703,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.34,0,742,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.41,19.34,0,780,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.34,0,819,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.43,19.82,20.31,19.24,0,857,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.53,0,896,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.53,0,933,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.24,19.82,20.21,19.43,0,972,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.41,19.34,0,1011,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.43,19.82,20.21,19.53,0,1050,,,,,,,,
,,,,,,,,,,,,,,
19.73,19.34,19.82,20.41,19.53,0,1090,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.63,19.82,20.51,19.53,0,1129,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,19.82,20.51,19.73,0,1169,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.53,20.21,20.61,19.82,0,1209,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,19.82,20.41,19.53,0,1248,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.31,20.41,19.73,0,1288,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.12,20.61,19.82,0,1327,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.31,20.41,19.82,0,1367,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.63,20.02,20.51,19.73,0,1406,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.21,20.41,19.82,0,1445,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.63,20.12,20.31,19.73,0,1485,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.31,20.61,19.82,0,1524,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.31,20.61,19.63,0,1564,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.12,20.51,19.82,0,1604,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.12,20.31,19.82,0,1643,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.31,20.41,19.82,0,1683,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.21,20.51,19.82,0,1722,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.63,20.12,20.41,19.82,0,1762,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.73,19.92,20.41,19.82,0,1802,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,20.31,20.41,19.82,0,1841,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.21,20.51,19.73,0,1881,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.12,20.51,19.73,0,1920,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.12,20.61,19.73,0,1959,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.12,20.51,19.53,0,1998,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.12,20.41,19.63,0,2038,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.21,20.51,19.53,0,2078,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.43,19.82,20.31,19.43,0,2117,,,,,,,,
,,,,,,,,,,,,,,
19.73,19.24,19.82,20.31,19.53,0,2157,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.31,19.34,0,2196,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.02,20.31,19.43,0,2236,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.73,20.12,20.7,19.63,0,2276,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.34,20.02,20.31,19.63,0,2315,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.43,20.12,20.61,19.63,0,2355,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.63,20.12,20.51,19.73,0,2394,,,,,,,,
,,,,,,,,,,,,,,
20.31,19.34,20.21,20.41,19.73,0,2434,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.43,19.82,20.41,19.43,0,2473,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,19.92,20.31,19.43,0,2512,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.73,20.02,20.51,19.73,0,2552,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.73,19.92,20.41,19.63,0,2591,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.53,19.92,20.41,19.73,0,2631,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.53,20.12,20.41,19.63,0,2671,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.63,20.02,20.41,19.53,0,2710,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,19.82,20.41,19.63,0,2750,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.43,19.92,20.41,19.53,0,2789,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,19.92,20.51,19.53,0,2829,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.34,20.12,20.41,19.63,0,2869,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.63,19.92,20.41,19.63,0,2908,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.43,19.82,20.31,19.73,0,2948,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.53,19.92,20.31,19.63,0,2987,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.34,19.82,20.41,19.34,0,3026,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.53,19.92,20.61,19.63,0,3066,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.53,20.02,20.41,19.82,0,3105,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.02,20.61,19.63,0,3145,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.73,20.21,20.7,19.63,0,3184,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.34,20.02,20.31,19.63,0,3224,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.34,20.12,20.31,19.63,0,3263,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.02,20.51,19.73,0,3303,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.12,20.41,19.53,0,3343,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.73,20.12,20.61,19.73,0,3382,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.02,20.41,19.73,0,3422,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.02,20.41,19.82,0,3461,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.82,20.12,20.41,19.73,0,3501,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.02,20.61,19.82,0,3540,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.53,20.21,20.41,19.63,0,3579,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.21,20.61,19.82,0,3619,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.12,20.51,19.82,0,3658,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.31,20.31,19.63,0,3698,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.12,20.51,19.63,0,3738,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.73,20.02,20.61,19.73,0,3777,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.31,20.7,19.63,0,3817,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.21,20.31,19.82,0,3856,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.02,20.51,19.73,0,3896,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.82,20.21,20.51,19.73,0,3936,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.21,20.51,19.63,0,3975,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.12,20.41,19.73,0,4015,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,19.92,20.51,19.73,0,4054,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.12,20.41,19.82,0,4093,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.12,20.51,19.63,0,4133,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.12,20.51,19.73,0,4172,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.12,20.51,19.53,0,4212,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.82,20.12,20.31,19.82,0,4251,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.02,20.51,19.73,0,4291,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.73,20.02,20.61,19.73,0,4331,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,19.92,20.61,19.53,0,4370,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.02,20.51,19.73,0,4410,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.02,20.61,19.73,0,4449,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.31,20.31,19.82,0,4489,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.73,20.12,20.31,19.82,0,4528,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.34,20.12,20.51,19.63,0,4568,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.12,20.51,19.73,0,4608,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.31,20.31,19.73,0,4646,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.02,20.51,19.73,0,4686,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.63,20.02,20.7,19.63,0,4725,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.73,20.31,20.51,19.82,0,4765,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.34,20.02,20.31,19.73,0,4805,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.12,20.51,19.73,0,4844,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.63,20.12,20.51,19.73,0,4884,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.34,19.92,20.51,19.63,0,4923,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.02,20.31,19.63,0,4963,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.73,20.21,20.41,19.82,0,5003,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,20.02,20.51,19.73,0,5042,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.82,20.02,20.41,19.73,0,5082,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.21,20.41,19.82,0,5121,,,,,,,,
,,,,,,,,,,,,,,
20.31,19.53,20.12,20.41,19.63,0,5160,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.82,20.12,20.51,19.73,0,5200,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.21,20.31,19.82,0,5239,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.21,20.31,19.73,0,5279,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.43,20.21,20.41,19.53,0,5318,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.43,20.12,20.51,19.63,0,5358,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.12,20.41,19.73,0,5398,,,,,,,,
,,,,,,,,,,,,,,
19.82,19.63,20.21,20.51,19.63,0,5437,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.12,20.61,19.63,0,5477,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,20.21,20.41,19.63,0,5516,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.43,20.02,20.51,19.63,0,5556,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.21,20.61,19.63,0,5596,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.12,20.31,19.73,0,5635,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.02,20.51,19.53,0,5675,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.12,20.51,19.63,0,5713,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.63,20.21,20.51,19.53,0,5753,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.12,20.51,19.82,0,5792,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.12,20.41,19.73,0,5832,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.02,20.51,19.73,0,5872,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.12,20.41,19.73,0,5911,,,,,,,,
,,,,,,,,,,,,,,
