A1,A2,A3,A4,A5,heat,time
,21.29,21.97,22.17,21.29,0,1309309
21.68,21.29,21.78,22.17,2.17,21.29,0,1309223
21.68,21.29,21.78,22.07,21.29,0,1309266
21.39,21.29,21.97,22.17,21.29,0,1309309
21.68,21.29,21.78,22.17,2.17,21.29,0,1309223
21.68,21.29,21.78,22.07,21.29,0,1309266
21.39,21.29,21.97,22.17,21.29,0,1309309
21.68,21.29,21.78,22.17,21.78,21.09,21.78,22.07,21.00,0,3
21.78,21.19,21.68,22.27,21.29,0,9
21.48,21.09,21.78,22.07,21.29,0,15
21.78,21.29,21.78,22.27,21.19,0,51
21.58,21.19,21.78,22.07,21.19,0,89
21.39,21.29,21.78,22.07,21.29,0,125
21.58,21.29,21.78,22.17,21.29,0,164
21.78,21.29,21.78,22.27,21.29,0,202
21.58,21.19,21.78,21.87,21.29,0,241
21.58,21.29,21.68,22.17,21.29,0,280
21.68,21.29,21.87,21.97,21.29,0,318
21.58,21.29,21.78,22.27,21.29,0,357
21.68,21.09,21.78,22.17,21.29,0,395
21.39,21.29,21.87,22.07,21.19,0,434
21.39,21.29,21.78,22.07,21.29,0,473
21.58,21.29,21.78,22.17,21.29,0,510
21.58,21.29,21.78,22.07,21.19,0,549
21.58,21.29,21.87,22.07,21.39,0,587
21.68,21.29,21.78,22.27,21.29,0,626
21.58,21.29,21.87,22.07,21.29,0,664
21.58,21.39,21.78,22.17,21.39,0,703
21.39,21.19,21.78,22.17,21.19,0,742
21.58,21.19,21.78,21.97,21.29,0,780
21.68,21.29,21.78,22.17,21.39,0,819
21.58,21.19,21.78,21.97,21.29,0,857
21.68,21.29,21.68,22.17,21.29,0,896
21.68,21.19,21.78,22.17,21.29,0,933
21.58,21.29,21.78,22.17,21.29,0,972
21.48,21.09,21.68,22.07,21.29,0,1011
21.39,21.39,21.78,22.27,21.29,0,1050
21.48,21.29,21.78,22.17,21.39,0,1090
21.58,21.19,21.78,21.97,21.29,0,1129
21.48,21.39,21.78,22.07,21.19,0,1169
21.48,21.29,21.78,22.17,21.29,0,1209
21.39,21.29,21.68,22.07,21.29,0,1248
21.58,21.29,21.78,22.07,21.19,0,1288
21.58,21.19,21.78,21.97,21.39,0,1327
21.48,21.29,21.78,22.07,21.29,0,1367
21.58,21.19,21.78,22.17,21.39,0,1406
21.58,21.19,21.78,22.07,21.29,0,1445
21.68,21.29,21.78,22.07,21.29,0,1485
21.48,21.09,21.78,22.07,21.29,0,1524
21.58,21.29,21.78,22.17,21.29,0,1564
21.68,21.29,21.87,22.17,21.29,0,1604
21.68,21.29,21.78,22.07,21.29,0,1643
21.58,21.29,21.68,22.07,21.29,0,1683
21.39,21.29,21.78,21.97,21.29,0,1722
21.58,21.29,21.78,21.97,21.19,0,1762
21.68,21.29,21.78,22.17,21.29,0,1802
21.48,21.19,21.78,22.07,21.29,0,1841
21.78,21.29,21.78,22.07,21.29,0,1881
21.48,21.29,21.78,22.27,21.19,0,1920
21.58,21.29,21.87,22.07,21.29,0,1959
21.48,21.29,21.68,21.97,21.29,0,1998
21.58,21.29,21.78,22.07,21.29,0,2038
21.68,21.29,21.78,22.27,21.29,0,2078
21.58,21.29,21.78,22.07,21.29,0,2117
21.48,21.29,21.78,22.07,21.19,0,2157
21.39,21.29,21.68,21.97,21.29,0,2196
21.39,21.29,21.87,22.07,21.29,0,2236
21.58,21.19,21.78,21.97,21.29,0,2276
21.58,21.29,21.68,22.27,21.19,0,2315
21.58,21.29,21.78,22.27,21.29,0,2355
21.78,21.39,21.78,22.27,21.29,0,2394
21.68,21.39,21.87,21.97,21.29,0,2434
21.48,21.29,21.78,22.17,21.39,0,2473
21.58,21.29,21.68,22.27,21.29,0,2512
21.48,21.29,21.87,21.97,21.19,0,2552
21.58,21.29,21.78,21.97,21.39,0,2591
21.39,21.19,21.78,22.07,21.29,0,2631
21.68,21.19,21.78,22.17,21.00,0,2671
21.58,21.29,21.78,22.17,21.29,0,2710
21.58,21.19,21.78,21.97,21.39,0,2750
21.48,21.29,21.78,22.07,21.48,0,2789
21.68,21.29,21.78,22.27,21.29,0,2829
21.68,21.39,21.78,22.17,21.19,0,2869
21.48,21.19,21.78,22.17,21.29,0,2908
21.58,21.19,21.78,21.87,21.39,0,2948
21.58,21.39,21.78,22.07,21.29,0,2987
21.58,21.29,21.78,22.17,21.29,0,3026
21.58,21.19,21.78,21.97,21.19,0,3066
21.58,21.29,21.78,22.07,21.29,0,3105
21.58,21.39,21.78,22.17,21.39,0,3145
21.78,21.29,21.78,22.07,21.29,0,3184
21.58,21.19,21.87,22.07,21.29,0,3224
21.48,21.29,21.87,22.07,21.19,0,3263
21.58,21.19,21.78,22.07,21.29,0,3303
21.68,21.29,21.78,22.07,21.29,0,3343
21.68,21.29,21.78,22.27,21.29,0,3382
21.39,21.29,21.87,21.87,21.29,0,3422
21.68,21.29,21.78,22.17,21.39,0,3461
21.58,21.29,21.78,22.07,21.29,0,3501
21.48,21.29,21.78,21.97,21.29,0,3540
21.58,21.19,21.78,21.97,21.29,0,3579
21.78,21.29,21.78,22.27,21.19,0,3619
21.39,21.29,21.78,22.17,21.29,0,3658
21.39,21.39,21.78,21.97,21.29,0,3698
21.39,21.29,21.78,22.07,21.29,0,3738
21.48,21.29,21.78,21.97,21.39,0,3777
21.48,21.29,21.78,22.07,21.29,0,3817
21.48,21.19,21.87,21.97,21.39,0,3856
21.58,21.29,21.78,21.97,21.29,0,3896
21.48,21.29,21.87,21.87,21.29,0,3936
21.78,21.29,21.78,22.27,21.29,0,3975
21.48,21.29,21.78,22.27,21.29,0,4015
21.48,21.29,21.87,22.17,21.29,0,4054
21.68,21.39,21.78,22.07,21.29,0,4093
21.58,21.29,21.78,22.07,21.29,0,4133
21.48,21.29,21.68,22.07,21.29,0,4172
21.78,21.19,21.97,21.97,21.29,0,4212
21.78,21.29,21.78,22.17,21.29,0,4251
21.29,21.29,21.78,22.07,21.29,0,4291
21.48,21.29,21.87,22.07,21.29,0,4331
21.68,21.29,21.78,22.27,21.29,0,4370
21.39,21.29,21.78,21.97,21.39,0,4410
21.68,21.29,21.87,22.27,21.29,0,4449
21.58,21.29,21.78,22.27,21.29,0,4489
21.58,21.29,21.78,21.87,21.29,1,4528
21.58,21.29,21.78,22.27,21.19,1,4568
21.48,21.19,21.78,22.17,21.29,1,4608
21.39,21.29,21.78,22.07,21.29,1,4646
21.68,21.19,21.78,22.17,21.29,1,4686
21.78,21.19,21.78,22.27,21.29,1,4725
21.39,21.29,21.78,21.97,21.48,1,4765
21.58,21.29,21.78,22.07,21.29,1,4805
21.78,21.29,21.78,22.07,21.29,1,4844
21.58,21.19,21.78,22.07,21.19,1,4884
21.68,21.29,21.78,21.97,21.29,1,4923
21.68,21.09,21.78,22.07,21.29,1,4963
21.78,21.29,21.87,22.27,21.19,1,5003
21.78,21.19,21.78,22.17,21.29,1,5042
21.39,21.09,21.68,22.07,21.19,1,5082
21.39,21.19,21.78,22.07,21.19,1,5121
21.78,21.19,21.87,22.17,21.29,1,5160
21.58,21.29,21.78,22.27,21.29,1,5200
21.48,21.29,21.68,22.07,21.29,1,5239
21.58,21.29,21.78,22.07,21.29,1,5279
21.48,21.29,21.78,21.87,21.48,1,5318
21.48,21.19,21.87,22.17,21.29,1,5358
21.48,21.29,21.78,21.97,21.29,1,5398
21.78,21.29,21.78,22.07,21.29,1,5437
21.48,21.29,21.78,22.17,21.29,1,5477
21.48,21.29,21.87,22.07,21.29,1,5516
21.68,21.39,21.78,22.27,21.29,1,5556
21.68,21.29,21.78,22.07,21.29,1,5596
21.68,21.29,21.87,22.17,21.29,1,5635
21.58,21.19,21.78,22.07,21.09,1,5675
21.48,21.29,21.78,21.97,21.29,1,5713
21.58,21.29,21.78,22.17,21.29,1,5753
21.58,21.29,21.78,22.07,21.29,1,5792
21.58,21.29,21.87,22.07,21.29,1,5832
21.48,21.39,21.78,22.17,21.39,1,5872
21.58,21.29,21.78,22.36,21.29,1,5911
21.48,21.29,21.78,21.97,21.39,1,5951
21.58,21.19,21.78,22.07,21.29,1,5990
21.68,21.19,21.78,22.27,21.29,1,6030
21.48,21.29,21.87,22.07,21.39,1,6070
21.58,21.39,21.78,22.07,21.29,1,6109
21.48,21.29,21.87,21.97,21.29,1,6149
21.58,21.09,21.78,22.07,21.29,1,6188
21.58,21.29,21.87,21.87,21.39,1,6227
21.78,21.29,21.78,22.17,21.29,1,6267
21.68,21.29,21.87,22.17,21.29,1,6306
21.58,21.29,21.78,22.07,21.29,1,6346
21.68,21.29,21.78,22.27,21.19,1,6385
21.68,21.29,21.78,22.17,21.29,1,6425
21.48,21.29,21.78,22.17,21.29,1,6465
21.58,21.09,21.78,22.07,21.29,1,6504
21.58,21.29,21.78,22.17,21.29,1,6544
21.58,21.29,21.78,22.17,21.29,1,6583
21.58,21.29,21.78,22.07,21.29,1,6623
21.58,21.19,21.78,21.97,21.29,1,6663
21.68,21.19,21.78,22.17,21.29,1,6702
21.68,21.39,21.78,22.07,21.39,1,6742
21.58,21.29,21.78,21.97,21.29,1,6780
21.58,21.29,21.87,22.07,21.29,1,6820
21.78,21.29,21.78,22.07,21.39,1,6860
21.48,21.19,21.78,21.97,21.29,0,6899
21.58,21.29,21.78,22.07,21.29,0,6939
21.58,21.19,21.78,22.07,21.29,0,6978
21.58,21.29,21.78,22.07,21.29,0,7018
21.58,21.19,21.78,21.97,21.19,0,7057
21.68,21.29,21.78,22.27,21.29,0,7097
21.58,21.29,21.87,22.07,21.29,0,7137
21.58,21.39,21.78,22.17,21.29,0,7176
21.58,21.29,21.78,22.17,21.29,0,7216
21.68,21.19,21.78,22.17,21.19,0,7255
21.48,21.29,21.78,21.97,21.29,0,7294
21.58,21.29,21.87,21.97,21.48,1,7334
21.58,21.19,21.78,22.07,21.29,1,7373
21.58,21.29,21.78,22.07,21.29,1,7413
21.58,21.29,21.78,22.27,21.29,1,7452
21.48,21.09,21.78,22.07,21.39,1,7492
21.48,21.29,21.78,22.27,21.29,1,7532
21.48,21.29,21.87,21.97,21.39,1,7571
21.39,21.29,21.78,22.07,21.19,1,7611
21.48,21.39,21.87,22.07,21.29,0,7650
21.48,21.29,21.78,22.07,21.29,0,7690
21.68,21.29,21.87,22.27,21.19,0,7730
21.58,21.19,21.87,22.07,21.19,0,7769
21.48,21.09,21.78,21.97,21.29,0,7809
21.48,21.29,21.68,22.07,21.19,0,7847
21.58,21.29,21.78,22.07,21.39,1,7887
21.58,21.29,21.87,22.17,21.29,1,7927
21.68,21.29,21.78,22.27,21.29,1,7966
21.48,21.09,21.78,22.07,21.29,1,8006
21.58,21.19,21.87,22.07,21.29,1,8045
21.68,21.29,21.78,22.27,21.29,1,8085
21.58,21.19,21.78,21.97,21.09,1,8125
21.39,21.29,21.78,21.97,21.29,1,8164
21.78,21.29,21.78,22.17,21.29,1,8204
21.68,21.19,21.78,22.07,21.29,0,8243
21.58,21.09,21.78,21.87,21.19,0,8283
21.29,21.29,21.78,22.07,21.19,0,8322
21.58,21.29,21.78,21.87,21.39,0,8361
21.68,21.29,21.68,22.27,21.29,0,8401
21.68,21.29,21.78,22.07,21.19,0,8440
21.68,21.29,21.87,22.07,21.19,0,8480
21.39,21.19,21.78,22.07,21.29,0,8519
21.68,21.29,21.87,22.17,21.29,0,8559
21.58,21.29,21.78,22.07,21.29,0,8599
21.48,21.39,21.78,22.27,21.29,0,8638
21.48,21.09,21.78,21.78,21.39,0,8678
21.58,21.29,21.78,22.17,21.29,0,8717
21.39,21.19,21.78,22.07,21.19,0,8757
21.68,21.19,21.87,22.07,21.29,0,8797
21.48,21.29,21.78,21.97,21.48,0,8836
21.58,21.29,21.78,22.17,21.39,0,8876
21.58,21.19,21.78,22.07,21.19,0,8914
21.48,21.39,21.78,22.07,21.29,0,8954
21.68,21.29,21.78,22.27,21.29,0,8994
21.58,21.29,21.78,21.87,21.39,0,9033
21.68,21.19,21.87,21.87,21.29,0,9073
21.78,21.29,21.87,22.17,21.29,0,9112
21.48,21.29,21.78,22.17,21.29,0,9152
21.68,21.19,21.78,22.17,21.39,0,9192
21.48,21.29,21.78,22.07,21.29,0,9231
21.68,21.29,21.78,21.97,21.29,0,9271
21.68,21.29,21.78,22.27,21.29,0,9310
21.68,21.19,21.78,21.97,21.39,0,9350
21.58,21.29,21.78,22.07,21.29,0,9390
