A1,A2,A3,A4,A5,heat,time
17.97,17.58,18.07,18.26,17.48,0.0,4.0
18.26,17.68,18.16,18.55,17.77,0.0,28.0
18.16,17.77,18.26,18.36,17.77,0.0,54.0
18.36,17.68,18.16,18.65,17.77,0.0,79.0
18.36,17.38,18.36,18.46,17.48,0.0,116.0
18.26,17.68,18.36,18.46,17.87,0.0,155.0
18.07,17.68,18.55,18.46,17.77,0.0,194.0
18.16,17.87,18.46,18.65,17.87,0.0,232.0
18.46,17.68,18.26,18.75,17.97,0.0,271.0
18.16,17.68,18.16,18.55,17.87,0.0,309.0
18.26,17.58,18.26,18.36,17.97,0.0,348.0
18.26,17.48,18.26,18.46,17.87,0.0,387.0
17.87,17.68,18.07,18.75,17.58,0.0,424.0
18.16,17.48,18.16,18.36,17.68,0.0,463.0
18.36,17.58,18.46,18.36,17.97,0.0,501.0
18.16,17.58,18.16,18.36,17.77,0.0,540.0
18.16,17.58,18.16,18.36,17.87,0.0,578.0
18.36,17.58,18.16,18.36,17.77,0.0,617.0
18.07,17.58,18.26,18.36,17.68,0.0,656.0
18.07,17.77,18.26,18.46,17.87,0.0,694.0
18.16,17.48,18.36,18.55,17.58,0.0,733.0
18.16,17.48,18.16,18.65,17.77,0.0,771.0
18.26,17.48,18.26,18.55,17.77,0.0,809.0
18.16,17.77,18.16,18.55,17.48,0.0,847.0
18.26,17.48,17.97,18.55,17.87,0.0,886.0
18.07,17.58,18.07,18.36,17.58,0.0,925.0
18.36,17.77,18.16,18.85,17.87,0.0,963.0
18.16,17.48,18.36,18.65,17.77,0.0,1002.0
18.16,17.58,18.26,18.46,17.77,0.0,1041.0
18.36,17.48,18.07,18.55,17.97,0.0,1081.0
18.26,17.58,18.36,18.55,17.97,0.0,1121.0
18.46,17.87,18.16,18.36,17.87,0.0,1160.0
18.36,17.58,18.26,18.65,17.87,0.0,1200.0
18.26,17.68,18.07,18.46,17.87,0.0,1239.0
18.26,17.58,18.26,18.75,17.77,0.0,1278.0
18.26,17.68,18.36,18.36,17.77,0.0,1318.0
17.97,17.68,18.36,18.46,17.58,0.0,1357.0
17.97,17.68,18.16,18.55,17.87,0.0,1397.0
18.36,17.68,18.36,18.46,17.77,0.0,1436.0
18.26,17.58,18.07,18.55,17.77,0.0,1476.0
18.16,17.77,18.26,18.65,17.77,0.0,1515.0
17.97,17.68,18.26,18.55,17.77,0.0,1555.0
18.26,17.58,18.16,18.75,17.68,0.0,1595.0
18.07,17.77,18.26,18.55,17.68,0.0,1634.0
18.36,17.87,18.36,18.55,17.68,0.0,1674.0
18.16,17.68,18.26,18.65,17.68,0.0,1713.0
18.07,17.58,18.36,18.65,17.48,0.0,1753.0
18.07,17.58,18.16,18.46,17.68,0.0,1793.0
18.16,17.77,18.26,18.55,17.77,0.0,1831.0
18.46,17.58,18.16,18.36,17.77,0.0,1871.0
18.26,17.58,18.36,18.55,17.68,0.0,1910.0
18.36,17.58,17.97,18.55,18.07,0.0,1950.0
18.26,17.58,18.26,18.65,17.68,0.0,1990.0
18.26,17.77,18.16,18.65,17.77,0.0,2029.0
18.07,17.68,18.36,18.75,17.97,0.0,2069.0
18.26,17.58,18.16,18.26,17.97,0.0,2108.0
18.36,17.58,18.55,18.46,17.68,0.0,2148.0
18.36,17.68,18.16,18.75,17.77,0.0,2188.0
18.16,17.77,18.16,18.65,17.58,0.0,2227.0
18.16,17.87,18.36,18.55,17.87,0.0,2267.0
18.36,17.68,18.16,18.55,17.97,0.0,2306.0
18.26,17.58,18.26,18.46,17.68,0.0,2345.0
18.26,17.58,18.46,18.75,17.97,0.0,2385.0
18.36,17.77,18.26,18.55,17.97,0.0,2424.0
17.97,17.48,18.07,18.16,17.58,0.0,2464.0
18.36,17.68,18.36,18.65,17.77,0.0,2503.0
18.16,17.68,18.46,18.85,17.58,0.0,2543.0
18.16,17.68,18.46,18.26,18.16,0.0,2583.0
18.46,17.58,18.07,18.46,18.16,0.0,2622.0
18.46,17.58,18.07,18.55,17.77,0.0,2662.0
18.36,17.68,18.36,18.65,17.77,0.0,2701.0
18.36,17.77,18.36,18.16,17.77,0.0,2741.0
18.16,17.77,18.26,18.55,17.87,0.0,2780.0
18.16,17.68,18.16,18.75,17.77,0.0,2820.0
18.26,17.58,18.36,18.65,17.68,0.0,2860.0
17.97,17.77,18.46,18.46,17.58,0.0,2898.0
18.07,17.68,18.36,18.26,17.68,0.0,2938.0
18.26,17.48,18.16,18.65,17.77,0.0,2977.0
18.26,17.58,18.16,18.55,17.68,0.0,3017.0
18.26,17.48,18.16,18.26,17.87,0.0,3057.0
18.16,17.77,18.16,18.65,17.68,0.0,3096.0
18.65,17.68,18.16,18.46,18.07,0.0,3136.0
18.26,17.68,18.16,18.46,17.68,0.0,3175.0
18.46,17.68,18.36,18.75,17.97,0.0,3215.0
18.07,17.58,18.46,18.65,17.68,0.0,3255.0
18.26,17.58,18.26,18.46,17.97,0.0,3294.0
18.16,17.48,18.07,18.55,17.77,0.0,3334.0
18.16,17.87,18.16,18.55,17.68,0.0,3373.0
18.26,17.58,18.26,18.36,17.87,0.0,3412.0
18.36,17.68,18.16,18.55,17.58,0.0,3452.0
18.16,17.58,18.36,18.65,17.77,0.0,3491.0
18.07,17.58,18.26,18.36,17.77,0.0,3531.0
18.07,17.58,18.36,18.55,17.87,0.0,3570.0
18.26,17.58,18.26,18.65,17.87,0.0,3610.0
18.07,17.58,18.26,18.46,17.58,0.0,3650.0
18.36,17.58,18.36,18.36,17.77,0.0,3689.0
18.26,17.77,18.26,18.36,17.87,0.0,3729.0
18.46,17.58,18.36,18.75,17.58,0.0,3768.0
18.26,17.58,18.16,18.46,17.87,0.0,3808.0
18.26,17.77,18.36,18.46,17.77,0.0,3848.0
18.07,17.77,18.36,18.75,17.77,0.0,3887.0
18.16,17.48,18.36,18.65,17.87,0.0,3927.0
18.16,17.58,18.16,18.55,17.77,0.0,3965.0
18.36,17.77,18.26,18.46,17.58,0.0,4005.0
18.16,17.58,18.16,18.36,17.58,0.0,4044.0
18.26,17.68,18.16,18.75,17.77,0.0,4084.0
18.36,17.58,18.07,18.36,17.77,0.0,4124.0
18.16,17.68,18.16,18.55,17.77,0.0,4163.0
18.46,17.58,18.16,18.36,17.77,0.0,4203.0
18.16,17.68,18.26,18.65,17.97,0.0,4242.0
18.16,17.58,18.16,18.55,17.87,0.0,4282.0
18.16,17.48,18.26,18.65,17.77,0.0,4322.0
18.36,17.48,18.26,18.65,17.87,0.0,4361.0
18.26,17.68,18.26,18.55,17.58,0.0,4401.0
18.16,17.58,18.26,18.46,17.68,0.0,4440.0
18.36,17.68,18.16,18.46,17.48,0.0,4480.0
18.16,17.68,18.07,18.55,17.87,0.0,4519.0
18.36,17.77,18.16,18.46,17.77,0.0,4558.0
18.07,17.58,18.26,18.55,17.68,0.0,4598.0
18.26,17.77,18.16,18.26,17.77,0.0,4637.0
18.36,17.77,18.36,18.55,17.77,0.0,4677.0
18.07,17.48,18.07,18.26,17.68,0.0,4717.0
18.26,17.68,18.16,18.46,17.68,0.0,4756.0
18.16,17.58,18.16,18.36,17.58,0.0,4796.0
18.26,17.68,18.07,18.36,17.77,0.0,4835.0
18.07,17.68,18.16,18.55,17.58,0.0,4875.0
18.07,17.68,18.16,18.65,17.87,0.0,4915.0
18.26,17.58,18.26,18.46,17.77,0.0,4954.0
18.36,17.77,18.36,18.65,17.77,0.0,4994.0
18.26,17.77,18.26,18.55,17.68,0.0,5032.0
18.26,17.58,18.46,18.65,17.48,0.0,5072.0
18.26,17.77,18.16,18.46,17.68,0.0,5112.0
18.16,17.77,18.26,18.46,17.58,0.0,5151.0
18.26,17.48,18.07,18.36,17.68,0.0,5191.0
18.26,17.68,18.16,18.46,17.77,0.0,5230.0
18.36,17.58,18.26,18.75,17.77,0.0,5270.0
18.26,17.48,18.16,18.26,17.68,0.0,5309.0
18.16,17.77,18.16,18.65,17.77,0.0,5349.0
17.97,17.58,18.36,18.55,17.68,0.0,5389.0
18.16,17.58,18.16,18.55,17.58,0.0,5428.0
18.46,17.58,18.16,18.75,17.68,0.0,5468.0
18.16,17.68,18.26,18.36,17.77,0.0,5507.0
18.16,17.68,18.26,18.65,17.77,0.0,5547.0
18.16,17.68,18.26,18.36,17.68,0.0,5586.0
18.36,17.87,18.46,18.65,17.87,0.0,5625.0
17.97,17.68,18.26,18.26,17.68,0.0,5665.0
18.16,17.77,18.46,18.85,17.77,0.0,5704.0
18.36,17.68,18.26,18.46,17.58,0.0,5744.0
18.36,17.58,17.97,18.07,17.48,0.0,5784.0
18.36,17.58,18.16,18.36,17.68,0.0,5823.0
18.36,17.48,18.36,18.55,17.58,0.0,5863.0
18.26,17.87,18.26,18.75,17.87,0.0,5902.0
18.26,17.77,18.46,18.75,17.77,0.0,5942.0
18.16,17.68,18.07,18.36,17.68,0.0,5982.0
18.36,17.48,18.07,18.36,17.87,0.0,6021.0
18.36,17.58,18.26,18.65,17.77,0.0,6061.0
18.16,17.58,18.16,18.55,17.87,0.0,6099.0
18.07,17.77,18.26,18.46,17.58,0.0,6139.0
18.16,17.48,18.26,18.55,17.58,0.0,6179.0
18.07,17.68,18.36,18.46,17.77,0.0,6218.0
18.16,17.68,18.26,18.55,17.87,0.0,6258.0
18.16,17.77,18.16,18.55,17.97,0.0,6297.0
18.46,17.68,18.16,18.55,17.87,0.0,6337.0
18.36,17.58,18.16,18.46,17.87,0.0,6377.0
18.16,17.68,18.36,18.75,17.58,0.0,6416.0
18.46,17.58,18.16,18.46,17.87,0.0,6456.0
18.26,17.48,18.16,18.46,17.68,0.0,6495.0
17.97,17.77,18.46,18.46,17.77,0.0,6535.0
18.07,17.48,18.46,18.46,17.48,0.0,6574.0
18.16,17.48,18.16,18.75,17.87,0.0,6614.0
18.46,17.68,18.26,18.36,17.58,0.0,6653.0
18.26,17.68,18.07,18.85,17.97,0.0,6692.0
18.26,17.77,18.26,18.65,17.87,0.0,6732.0
18.16,17.68,18.16,18.46,17.68,0.0,6771.0
18.26,17.87,18.26,18.46,17.87,0.0,6811.0
18.07,17.87,18.46,18.55,17.97,0.0,6851.0
18.36,17.68,17.97,18.75,18.07,0.0,6890.0
18.36,17.77,18.36,18.55,17.97,0.0,6930.0
18.16,17.58,18.16,18.65,17.68,0.0,6969.0
18.26,17.77,18.36,18.55,17.87,0.0,7009.0
18.36,17.58,18.36,18.65,17.68,0.0,7049.0
18.46,17.68,18.16,18.65,17.87,0.0,7088.0
