A1,A2,A3,A4,A5,heat,time
-47.66,-50.0,-50.0,-50.0,-50.0,0.0,4.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,28.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,57.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,100.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,144.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,187.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,231.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,275.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,318.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,362.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,406.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,449.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,493.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,537.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,580.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,624.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,668.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,711.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,755.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,798.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,842.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,886.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,929.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,973.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1017.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1061.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1106.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,1152.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1196.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1241.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1286.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1330.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,1375.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,1420.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1464.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1509.0
-50.0,-50.0,-50.0,-49.8,-50.0,0.0,1554.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1598.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1643.0
-50.0,-49.9,-50.0,-49.8,-50.0,0.0,1688.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1733.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1777.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,1822.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,1867.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,1911.0
-50.0,-50.0,-50.0,-49.8,-50.0,0.0,1956.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,2001.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2045.0
-50.0,-50.0,-50.0,-49.8,-50.0,0.0,2091.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2136.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2180.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2225.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,2270.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2314.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2359.0
-50.0,-50.0,-50.0,-49.8,-50.0,0.0,2404.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2448.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,2493.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,2538.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2582.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2627.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,2672.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2716.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2761.0
-50.0,-50.0,-50.0,-49.8,-50.0,0.0,2806.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2850.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2895.0
-50.0,-50.0,-50.0,-49.71,-50.0,0.0,2940.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,2984.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3030.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,3075.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,3119.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3164.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,3209.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,3253.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3298.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3343.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,3387.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3432.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3477.0
-50.0,-50.0,-50.0,-49.8,-50.0,0.0,3521.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3566.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3611.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,3655.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3700.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3745.0
-50.0,-50.0,-50.0,-49.8,-50.0,0.0,3789.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3834.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3879.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3923.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,3969.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,4014.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,4058.0
-50.0,-50.0,-50.0,-49.9,-50.0,0.0,4103.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,4148.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,4192.0
-50.0,-50.0,-50.0,-49.8,-50.0,0.0,4237.0
-50.0,-50.0,-50.0,-50.0,-50.0,0.0,4282.0
