A1,A2,A3,A4,A5,heat,time
19.43,18.85,19.53,20.31,19.73,0.0,28.0
19.53,19.14,19.73,20.41,19.82,0.0,54.0
19.63,18.95,19.82,20.31,19.73,0.0,79.0
19.53,18.85,19.63,20.21,19.92,0.0,116.0
19.63,18.85,19.63,20.21,19.73,0.0,155.0
19.63,18.95,19.92,20.12,19.82,0.0,194.0
19.63,18.85,19.82,20.21,19.82,0.0,232.0
19.63,18.85,19.53,20.21,19.92,0.0,271.0
19.73,18.95,20.02,20.21,19.92,0.0,309.0
19.24,18.85,19.53,20.21,19.43,0.0,348.0
19.73,19.14,19.63,20.21,19.82,0.0,387.0
19.43,18.95,19.73,20.02,19.92,0.0,424.0
19.53,19.04,19.63,20.21,19.92,0.0,463.0
19.73,18.95,19.73,20.21,19.92,0.0,501.0
19.43,19.04,19.73,20.12,19.73,0.0,540.0
19.53,18.85,19.63,20.31,20.02,0.0,578.0
19.53,19.04,19.73,20.31,19.82,0.0,617.0
19.43,18.95,19.53,20.21,19.92,0.0,656.0
19.73,19.14,19.73,20.31,19.92,0.0,694.0
19.63,19.14,19.82,20.21,19.73,0.0,733.0
19.34,18.95,19.43,20.21,20.02,0.0,771.0
19.73,19.24,19.53,20.12,19.92,0.0,809.0
19.53,18.95,19.63,20.02,19.92,0.0,847.0
19.53,18.95,19.63,20.31,19.82,0.0,886.0
19.53,18.85,19.63,20.12,20.12,0.0,925.0
19.63,19.04,19.53,20.12,19.92,0.0,963.0
19.63,19.04,19.73,20.21,20.02,0.0,1002.0
19.53,19.14,19.63,20.21,19.92,0.0,1041.0
19.34,18.95,19.43,20.02,19.82,0.0,1081.0
19.63,18.95,19.73,20.21,19.82,0.0,1121.0
19.63,19.24,19.73,20.31,20.31,0.0,1160.0
19.43,18.85,19.73,20.12,19.73,0.0,1200.0
19.43,19.24,19.53,20.12,19.73,0.0,1239.0
19.73,19.04,19.73,20.21,19.92,0.0,1278.0
19.73,18.95,19.73,20.12,19.92,0.0,1318.0
19.43,19.24,19.63,20.12,20.12,0.0,1357.0
19.63,19.14,19.53,20.02,20.02,0.0,1397.0
19.53,19.04,19.73,20.12,20.12,0.0,1436.0
19.63,19.14,19.63,20.12,19.92,0.0,1476.0
19.63,19.04,19.63,20.12,20.02,0.0,1515.0
19.43,18.95,19.73,20.21,19.73,0.0,1555.0
19.53,19.14,19.63,20.12,19.82,0.0,1595.0
19.53,19.14,19.73,20.02,20.12,0.0,1634.0
19.63,19.14,19.92,20.21,19.73,0.0,1674.0
19.53,19.04,19.53,20.02,19.63,0.0,1713.0
19.43,19.04,19.53,20.12,19.92,0.0,1753.0
19.34,19.04,19.53,20.21,20.12,0.0,1793.0
19.53,19.04,19.92,20.31,19.92,0.0,1831.0
19.53,19.04,19.63,20.12,19.82,0.0,1871.0
19.53,18.85,19.82,20.41,19.92,0.0,1910.0
19.73,19.14,19.92,20.21,20.12,0.0,1950.0
19.53,19.24,19.34,20.21,19.92,0.0,1990.0
