A1,A2,A3,A4,A5,heat,time
21.58,21.19,21.48,22.17,21.78,0.0,28.0
21.58,21.19,21.68,22.17,22.07,0.0,54.0
21.58,21.09,21.78,22.07,21.87,0.0,79.0
21.68,21.19,21.68,21.87,21.97,0.0,116.0
21.58,21.19,21.48,22.17,21.87,0.0,155.0
21.68,21.09,21.78,22.07,21.87,0.0,194.0
21.78,21.19,21.78,22.17,21.97,0.0,232.0
21.48,21.09,21.78,22.27,21.78,0.0,271.0
21.78,21.09,21.78,22.27,22.07,0.0,309.0
21.68,21.19,21.78,22.27,22.07,0.0,348.0
21.78,21.19,21.68,22.27,22.07,0.0,387.0
21.48,21.09,21.87,22.07,21.78,0.0,424.0
21.39,21.09,21.87,22.17,21.97,0.0,463.0
21.78,21.19,21.68,22.17,21.97,0.0,501.0
21.48,21.19,21.68,22.27,21.97,0.0,540.0
21.58,21.09,21.78,22.07,21.97,0.0,578.0
21.48,21.0,21.68,22.27,21.78,0.0,617.0
21.78,21.19,21.58,22.07,21.78,0.0,656.0
21.48,21.09,21.48,22.17,21.97,0.0,694.0
21.78,21.09,21.78,22.17,21.97,0.0,733.0
21.58,20.9,21.78,22.27,21.97,0.0,771.0
21.68,21.0,21.87,22.27,22.07,0.0,809.0
21.78,21.39,21.48,22.27,21.97,0.0,847.0
21.58,21.0,21.78,22.07,21.78,0.0,886.0
21.58,21.0,21.58,22.27,21.97,0.0,925.0
21.68,21.19,21.87,22.27,21.87,0.0,963.0
21.58,21.19,21.68,22.27,21.87,0.0,1002.0
21.58,21.29,21.87,22.17,21.87,0.0,1041.0
21.58,21.19,21.29,22.07,21.87,0.0,1081.0
21.78,21.09,21.48,22.17,21.97,0.0,1121.0
21.68,21.29,21.87,21.97,21.78,0.0,1160.0
21.68,21.19,21.58,22.07,21.97,0.0,1200.0
21.78,21.19,21.68,22.27,21.97,0.0,1239.0
21.58,21.09,21.68,22.07,21.78,0.0,1278.0
21.78,21.09,21.58,22.17,21.78,0.0,1318.0
21.58,21.19,21.58,22.17,21.87,0.0,1357.0
21.58,21.09,21.48,22.07,21.78,0.0,1397.0
21.68,21.09,21.78,22.27,22.07,0.0,1436.0
21.48,21.09,21.78,22.27,21.87,0.0,1476.0
21.58,21.29,21.68,22.17,21.97,0.0,1515.0
21.78,21.39,21.68,22.17,21.97,0.0,1555.0
21.58,21.09,21.58,22.27,21.97,0.0,1595.0
21.68,21.29,21.68,22.07,21.97,0.0,1634.0
21.87,21.09,21.78,22.07,21.78,0.0,1674.0
21.68,21.29,21.58,21.97,21.78,0.0,1713.0
21.68,21.09,21.68,22.07,21.97,0.0,1753.0
21.58,20.9,21.48,22.27,21.87,0.0,1793.0
21.48,21.29,21.78,22.17,21.78,0.0,1831.0
21.68,21.0,21.87,21.97,22.07,0.0,1871.0
21.58,21.09,21.68,22.17,21.97,0.0,1910.0
21.78,21.0,21.68,22.07,21.97,0.0,1950.0
21.58,21.29,21.48,22.27,21.97,0.0,1990.0
21.48,21.09,21.58,22.27,21.78,0.0,2029.0
21.97,21.09,21.87,22.27,21.87,0.0,2069.0
21.78,21.09,21.78,22.07,21.78,0.0,2108.0
21.58,21.09,21.78,22.07,21.97,0.0,2148.0
21.68,21.0,21.68,22.07,21.87,0.0,2188.0
21.58,21.09,21.68,22.07,21.97,0.0,2227.0
21.78,20.8,21.87,21.97,22.07,0.0,2267.0
21.68,21.09,21.68,21.97,21.78,0.0,2306.0
21.68,21.19,21.78,22.27,21.97,0.0,2345.0
21.68,21.39,21.48,22.27,21.97,0.0,2385.0
21.68,21.39,21.87,22.27,22.07,0.0,2424.0
21.78,21.09,21.78,22.36,21.87,0.0,2464.0
21.78,21.19,21.68,22.17,21.78,0.0,2503.0
21.68,21.19,21.87,22.07,21.97,0.0,2543.0
21.78,21.19,21.78,22.27,22.07,0.0,2583.0
21.68,21.09,21.78,22.17,21.87,0.0,2622.0
21.58,21.09,21.68,22.27,21.97,0.0,2662.0
21.78,21.0,21.78,21.97,21.97,0.0,2701.0
21.78,21.19,21.68,22.17,22.07,0.0,2741.0
21.58,21.09,21.58,22.17,21.87,0.0,2780.0
21.87,21.09,21.68,22.17,21.78,0.0,2820.0
21.78,21.0,21.48,22.36,21.97,0.0,2860.0
21.58,21.09,21.68,22.27,21.58,0.0,2898.0
21.68,21.19,21.97,22.07,21.97,0.0,2938.0
21.68,21.29,21.78,22.27,21.97,0.0,2977.0
21.68,21.09,21.87,22.17,21.68,0.0,3017.0
21.68,21.29,21.48,22.07,21.87,0.0,3057.0
21.68,21.0,21.78,22.17,21.87,0.0,3096.0
21.58,21.29,21.68,21.78,21.87,0.0,3136.0
21.68,21.19,21.78,22.17,21.87,0.0,3175.0
21.78,21.39,21.68,21.97,22.07,0.0,3215.0
21.78,21.19,21.78,22.17,21.97,0.0,3255.0
21.58,20.9,21.68,22.17,21.97,0.0,3294.0
21.58,21.19,21.87,21.97,21.78,0.0,3334.0
21.68,21.09,21.68,22.17,21.78,0.0,3373.0
21.68,21.09,21.68,22.07,21.87,0.0,3412.0
21.58,21.0,21.87,22.17,21.97,0.0,3452.0
21.68,21.09,21.78,22.17,22.07,0.0,3491.0
21.58,21.0,21.58,22.17,21.68,0.0,3531.0
21.68,21.19,21.78,22.27,21.97,0.0,3570.0
21.78,21.19,21.68,22.17,21.97,0.0,3610.0
21.29,20.8,21.68,22.07,21.78,0.0,3650.0
21.29,21.0,21.68,22.27,21.87,0.0,3689.0
21.78,21.19,21.68,21.97,21.87,0.0,3729.0
21.58,21.29,21.58,22.27,21.78,0.0,3768.0
21.68,21.0,21.58,22.27,21.78,0.0,3808.0
21.48,21.09,21.78,22.17,21.97,0.0,3848.0
21.68,21.19,21.68,22.07,21.78,0.0,3887.0
21.78,21.29,21.78,22.17,21.78,0.0,3927.0
21.78,21.09,21.58,22.17,21.97,0.0,3965.0
21.68,21.19,21.78,22.17,21.68,0.0,4005.0
21.58,21.0,21.68,22.17,21.97,0.0,4044.0
21.68,21.19,21.58,22.27,21.97,0.0,4084.0
21.78,21.29,21.87,22.17,21.97,0.0,4124.0
21.58,21.09,21.78,22.07,21.87,0.0,4163.0
21.68,21.19,21.87,22.27,21.97,0.0,4203.0
21.68,21.0,21.97,22.36,21.87,0.0,4242.0
21.48,21.0,21.78,22.17,21.97,0.0,4282.0
21.68,21.09,21.78,22.07,21.78,0.0,4322.0
21.58,21.19,21.68,22.17,21.97,0.0,4361.0
21.58,20.9,21.68,22.17,21.58,0.0,4401.0
21.78,21.29,21.78,21.97,21.97,0.0,4440.0
21.68,21.19,21.68,22.17,21.68,0.0,4480.0
21.78,21.29,21.87,21.97,21.97,0.0,4519.0
21.68,21.29,21.78,22.27,22.07,0.0,4558.0
21.78,21.09,21.58,21.87,21.68,0.0,4598.0
21.58,20.9,21.58,22.17,22.07,0.0,4637.0
21.58,21.09,21.78,22.07,21.87,0.0,4677.0
21.58,21.19,21.78,22.27,21.78,0.0,4717.0
21.58,21.09,21.58,22.27,21.87,0.0,4756.0
21.48,21.19,21.68,22.17,21.97,0.0,4796.0
21.78,21.29,21.78,22.07,21.78,0.0,4835.0
21.68,21.0,21.78,22.17,21.87,0.0,4875.0
21.58,21.09,21.58,22.07,21.48,0.0,4915.0
21.68,21.19,21.58,22.17,21.97,0.0,4954.0
21.78,21.39,21.78,22.27,21.78,0.0,4994.0
21.78,21.0,21.68,22.07,21.78,0.0,5032.0
21.48,20.8,21.78,22.17,21.78,0.0,5072.0
21.68,21.39,21.78,22.07,21.87,0.0,5112.0
21.68,21.09,21.68,22.17,21.87,0.0,5151.0
21.68,21.29,21.68,22.07,22.07,0.0,5191.0
21.58,21.19,21.68,22.17,21.68,0.0,5230.0
21.68,21.19,21.78,22.27,21.87,0.0,5270.0
21.58,21.0,21.97,21.97,22.07,0.0,5309.0
21.68,21.19,21.68,22.17,21.87,0.0,5349.0
21.58,21.0,21.58,22.17,21.78,0.0,5389.0
