A1,A2,A3,A4,A5,heat,time
19.82,19.14,19.73,20.21,19.24,0.0,3.0
19.82,19.14,19.82,20.21,19.43,0.0,9.0
19.82,19.34,19.92,20.31,19.43,0.0,15.0
19.82,19.34,19.82,20.21,19.43,0.0,51.0
19.82,19.34,19.82,20.31,19.43,0.0,89.0
19.82,19.24,19.82,20.31,19.43,0.0,125.0
19.73,19.34,19.73,20.31,19.34,0.0,164.0
19.82,19.43,19.82,20.31,19.34,0.0,202.0
19.82,19.34,19.82,20.31,19.63,0.0,241.0
19.82,19.34,19.82,20.31,19.53,0.0,280.0
19.82,19.34,19.82,20.31,19.43,0.0,318.0
19.82,19.34,19.82,20.31,19.34,0.0,357.0
19.82,19.34,19.82,20.31,19.34,0.0,395.0
19.82,19.43,19.82,20.31,19.34,0.0,434.0
19.82,19.34,19.82,20.31,19.34,0.0,473.0
19.82,19.34,19.82,20.51,19.34,0.0,510.0
19.82,19.34,19.82,20.31,19.43,0.0,549.0
19.82,19.34,19.82,20.31,19.34,0.0,587.0
19.73,19.34,19.82,20.31,19.34,0.0,626.0
19.82,19.34,19.82,20.31,19.43,0.0,664.0
19.73,19.53,19.82,20.41,19.43,0.0,703.0
19.82,19.34,19.82,20.31,19.34,0.0,742.0
19.82,19.34,19.82,20.41,19.34,0.0,780.0
19.82,19.34,19.82,20.31,19.34,0.0,819.0
19.82,19.43,19.82,20.31,19.24,0.0,857.0
19.82,19.34,19.82,20.31,19.53,0.0,896.0
19.82,19.34,19.82,20.31,19.53,0.0,933.0
19.82,19.24,19.82,20.21,19.43,0.0,972.0
19.82,19.34,19.82,20.41,19.34,0.0,1011.0
19.82,19.43,19.82,20.21,19.53,0.0,1050.0
19.73,19.34,19.82,20.41,19.53,0.0,1090.0
19.82,19.63,19.82,20.51,19.53,0.0,1129.0
19.92,19.63,19.82,20.51,19.73,0.0,1169.0
19.92,19.53,20.21,20.61,19.82,0.0,1209.0
20.02,19.53,19.82,20.41,19.53,0.0,1248.0
20.12,19.53,20.31,20.41,19.73,0.0,1288.0
20.12,19.63,20.12,20.61,19.82,0.0,1327.0
20.12,19.43,20.31,20.41,19.82,0.0,1367.0
20.21,19.63,20.02,20.51,19.73,0.0,1406.0
20.12,19.63,20.21,20.41,19.82,0.0,1445.0
20.21,19.63,20.12,20.31,19.73,0.0,1485.0
20.02,19.63,20.31,20.61,19.82,0.0,1524.0
20.02,19.63,20.31,20.61,19.63,0.0,1564.0
20.02,19.43,20.12,20.51,19.82,0.0,1604.0
20.12,19.43,20.12,20.31,19.82,0.0,1643.0
20.12,19.43,20.31,20.41,19.82,0.0,1683.0
20.02,19.63,20.21,20.51,19.82,0.0,1722.0
20.21,19.63,20.12,20.41,19.82,0.0,1762.0
20.12,19.73,19.92,20.41,19.82,0.0,1802.0
19.92,19.63,20.31,20.41,19.82,0.0,1841.0
20.12,19.53,20.21,20.51,19.73,0.0,1881.0
20.12,19.63,20.12,20.51,19.73,0.0,1920.0
20.12,19.43,20.12,20.61,19.73,0.0,1959.0
20.21,19.53,20.12,20.51,19.53,0.0,1998.0
20.02,19.43,20.12,20.41,19.63,0.0,2038.0
20.12,19.63,20.21,20.51,19.53,0.0,2078.0
19.82,19.43,19.82,20.31,19.43,0.0,2117.0
