A1,A2,A3,A4,A5,heat,time
25.39,24.8,25.29,25.39,25.68,1.0,19341.0
25.39,24.9,25.59,25.49,25.59,1.0,19382.0
25.39,24.71,25.49,25.49,25.59,1.0,19423.0
25.39,24.61,25.59,25.59,25.49,1.0,19463.0
25.49,24.9,25.59,25.68,25.78,1.0,19504.0
25.39,24.71,25.68,25.59,25.39,1.0,19544.0
25.49,24.8,25.2,25.49,25.59,1.0,19585.0
25.29,24.9,25.68,25.59,25.59,1.0,19625.0
25.39,24.9,25.68,25.59,25.59,1.0,19665.0
25.49,24.71,25.29,25.39,25.49,1.0,19706.0
25.59,24.8,25.49,25.59,25.59,1.0,19746.0
25.39,24.8,25.59,25.78,25.68,1.0,19787.0
25.39,24.8,25.59,25.59,25.59,1.0,19828.0
25.39,24.8,25.59,25.49,25.59,1.0,19868.0
25.39,24.8,25.29,25.59,25.39,1.0,19909.0
25.39,24.9,25.49,25.39,25.49,1.0,19949.0
25.49,24.8,25.39,25.39,25.39,1.0,19990.0
25.49,24.9,25.59,25.49,25.49,1.0,20031.0
25.39,24.9,25.59,25.49,25.59,1.0,20071.0
25.49,24.8,25.59,25.59,25.49,1.0,20112.0
25.49,24.8,25.59,25.59,25.68,1.0,20152.0
25.39,24.8,25.68,25.68,25.68,1.0,20193.0
25.59,24.9,25.49,25.49,25.68,1.0,20234.0
25.2,24.71,25.59,25.59,25.59,1.0,20274.0
25.49,24.8,25.59,25.49,25.68,1.0,20315.0
25.29,24.61,25.59,25.59,25.59,1.0,20356.0
25.2,24.9,25.59,25.39,25.39,1.0,20396.0
25.39,24.71,25.39,25.68,25.68,1.0,20436.0
25.49,24.61,25.49,25.49,25.59,1.0,20476.0
25.49,24.61,25.59,25.59,25.68,1.0,20517.0
25.29,24.8,25.49,25.49,25.59,1.0,20558.0
25.49,24.8,25.39,25.39,25.68,1.0,20598.0
25.39,24.61,25.39,25.59,25.59,1.0,20639.0
25.49,24.8,25.59,25.39,25.59,1.0,20679.0
25.59,24.71,25.68,25.59,25.49,1.0,20720.0
25.29,24.8,25.49,25.49,25.78,1.0,20761.0
25.59,24.61,25.49,25.59,25.49,1.0,20801.0
25.2,24.71,25.68,25.29,25.49,1.0,20842.0
25.39,24.71,25.59,25.39,25.68,1.0,20882.0
25.39,24.61,25.59,25.39,25.39,1.0,20923.0
25.49,24.71,25.59,25.39,25.78,1.0,20964.0
25.49,24.71,25.59,25.29,25.39,1.0,21004.0
25.39,24.8,25.29,25.39,25.59,1.0,21045.0
25.29,24.8,25.59,25.59,25.59,1.0,21085.0
25.29,24.61,25.59,25.78,25.68,1.0,21126.0
25.49,24.61,25.49,25.49,25.68,1.0,21167.0
25.39,24.9,25.29,25.59,25.68,1.0,21207.0
25.39,24.51,25.39,25.39,25.49,1.0,21248.0
25.49,24.71,25.39,25.39,25.49,1.0,21288.0
25.2,24.8,25.68,25.68,25.59,1.0,21328.0
25.29,24.8,25.49,25.39,25.68,1.0,21369.0
25.29,24.8,25.59,25.59,25.68,1.0,21409.0
25.49,24.71,25.49,25.29,25.49,1.0,21450.0
25.0,24.8,25.59,25.49,25.39,1.0,21491.0
25.39,24.8,25.49,25.49,25.59,1.0,21531.0
25.29,24.71,25.78,25.59,25.49,1.0,21572.0
25.49,24.61,25.59,25.68,25.59,1.0,21612.0
25.39,24.8,25.49,25.39,25.59,1.0,21653.0
25.39,24.61,25.59,25.39,25.68,1.0,21694.0
25.39,24.61,25.49,25.49,25.49,1.0,21734.0
25.39,24.61,25.29,25.49,25.59,1.0,21775.0
25.59,24.9,25.49,25.29,25.59,1.0,21815.0
25.49,24.8,25.68,25.59,25.49,1.0,21856.0
25.39,24.71,25.49,25.68,25.39,1.0,21897.0
25.49,24.8,25.59,25.49,25.68,1.0,21937.0
25.59,24.8,25.39,25.39,25.49,1.0,21978.0
25.2,24.61,25.68,25.59,25.68,1.0,22019.0
25.29,24.71,25.39,25.2,25.68,1.0,22059.0
25.68,24.61,25.49,25.49,25.59,1.0,22099.0
25.39,24.71,25.49,25.39,25.68,1.0,22139.0
25.49,24.8,25.49,25.49,25.59,1.0,22180.0
25.29,24.71,25.39,25.29,25.68,1.0,22221.0
25.49,24.9,25.29,25.2,25.49,1.0,22261.0
25.39,24.8,25.68,25.49,25.78,1.0,22302.0
25.39,24.8,25.39,25.59,25.68,1.0,22342.0
25.39,24.9,25.49,25.39,25.49,1.0,22383.0
25.29,24.51,25.39,25.2,25.49,1.0,22424.0
25.49,24.71,25.59,25.39,25.59,1.0,22464.0
25.49,24.8,25.68,25.78,26.07,1.0,22505.0
25.39,24.8,25.59,25.49,25.68,1.0,22545.0
25.39,24.8,25.49,25.49,25.78,1.0,22586.0
25.29,24.71,25.68,25.39,25.49,1.0,22627.0
25.59,24.71,25.49,25.39,25.68,1.0,22667.0
25.39,24.8,25.39,25.59,25.78,1.0,22708.0
