A1,A2,A3,A4,A5,heat,time
23.63,23.14,23.63,24.02,24.22,0.0,28.0
23.54,23.05,23.73,23.93,24.32,0.0,54.0
23.63,23.05,23.83,23.93,24.22,0.0,79.0
23.63,22.85,24.02,24.02,24.12,0.0,116.0
23.63,22.95,23.54,23.73,24.32,0.0,155.0
23.54,23.24,23.73,23.93,24.41,0.0,194.0
23.54,22.85,23.83,24.02,24.12,0.0,232.0
23.54,23.14,23.44,23.93,24.61,0.0,271.0
23.63,22.95,23.73,23.93,24.02,0.0,309.0
23.54,23.05,23.54,23.93,24.22,0.0,348.0
23.63,23.05,23.83,24.12,24.22,0.0,387.0
23.44,23.14,23.63,23.73,24.41,0.0,424.0
23.63,23.05,23.73,24.02,24.02,0.0,463.0
23.63,23.24,23.83,24.12,24.12,0.0,501.0
23.44,23.05,23.63,23.73,24.61,0.0,540.0
23.34,23.05,23.83,23.83,24.22,0.0,578.0
23.54,22.95,23.63,24.12,24.41,0.0,617.0
23.54,23.14,23.73,23.83,24.22,0.0,656.0
23.73,23.14,23.63,24.22,24.22,0.0,694.0
23.73,23.05,23.73,23.93,24.32,0.0,733.0
23.63,23.14,23.63,23.83,24.32,0.0,771.0
23.73,23.05,23.83,23.93,24.22,0.0,809.0
23.63,23.14,23.63,24.02,24.22,0.0,847.0
23.54,22.95,23.93,24.02,24.22,0.0,886.0
23.73,23.05,23.73,23.93,24.22,0.0,925.0
23.63,22.85,23.73,24.12,24.12,0.0,963.0
23.63,23.05,23.73,23.83,24.41,0.0,1002.0
23.73,22.85,23.73,24.12,24.32,0.0,1041.0
23.73,22.95,23.73,23.63,24.12,0.0,1081.0
23.54,23.34,23.44,23.93,24.22,0.0,1121.0
23.63,23.05,23.63,24.02,24.22,0.0,1160.0
23.24,22.95,23.83,24.02,24.41,0.0,1200.0
23.63,23.05,23.54,24.22,24.32,0.0,1239.0
23.63,22.85,23.63,24.02,24.51,0.0,1278.0
23.54,23.14,23.63,24.12,24.41,0.0,1318.0
