A1,A2,A3,A4,A5,heat,time
22.07,21.78,22.36,22.66,21.97,0.0,28.0
22.17,22.07,22.36,22.36,21.97,0.0,54.0
22.07,21.78,22.46,22.66,21.97,0.0,79.0
22.17,21.78,22.75,22.95,21.78,0.0,116.0
22.07,21.78,22.46,23.05,22.17,0.0,155.0
22.17,21.78,22.46,22.75,22.07,0.0,194.0
22.07,21.87,22.36,22.66,22.07,0.0,232.0
22.17,21.78,22.36,22.75,22.07,0.0,271.0
22.17,21.68,22.46,22.85,21.97,0.0,309.0
22.07,21.78,22.46,22.56,21.97,0.0,348.0
22.36,21.87,22.27,22.75,22.07,0.0,387.0
21.97,21.68,22.46,22.75,22.07,0.0,424.0
22.17,21.87,22.36,22.85,22.17,0.0,463.0
22.27,21.68,22.46,22.66,21.97,0.0,501.0
22.17,21.58,22.46,22.85,22.17,0.0,540.0
22.17,21.97,22.46,22.85,22.27,0.0,578.0
22.27,21.97,22.27,22.27,21.97,0.0,617.0
22.17,21.78,22.56,22.66,22.27,0.0,656.0
22.17,21.68,22.46,22.75,22.07,0.0,694.0
22.27,21.87,22.27,22.56,22.17,0.0,733.0
22.07,21.87,22.46,22.66,21.97,0.0,771.0
22.17,21.97,22.36,22.75,21.87,0.0,809.0
22.07,21.68,22.36,22.56,22.27,0.0,847.0
21.97,21.87,22.56,23.05,21.97,0.0,886.0
22.07,21.68,22.56,22.66,21.87,0.0,925.0
21.97,21.58,22.46,22.66,22.07,0.0,963.0
22.17,21.58,22.27,22.75,22.27,0.0,1002.0
22.07,21.78,22.46,22.66,22.17,0.0,1041.0
22.36,21.78,22.36,22.66,22.17,0.0,1081.0
22.07,21.68,22.36,22.85,22.07,0.0,1121.0
22.17,21.68,22.46,22.46,22.07,0.0,1160.0
22.17,21.97,22.27,22.75,22.17,0.0,1200.0
22.17,21.68,22.46,22.95,21.97,0.0,1239.0
22.17,21.78,22.56,22.66,22.36,0.0,1278.0
22.17,21.48,22.46,23.14,21.87,0.0,1318.0
22.27,21.78,22.36,22.66,22.07,0.0,1357.0
22.17,21.78,22.46,22.85,22.17,0.0,1397.0
22.27,21.87,22.36,22.56,22.07,0.0,1436.0
22.07,21.97,22.36,22.75,21.97,0.0,1476.0
21.97,21.78,22.36,22.46,22.17,0.0,1515.0
22.07,21.87,22.56,22.85,21.87,0.0,1555.0
22.07,21.78,22.36,22.66,22.17,0.0,1595.0
22.27,21.78,22.46,22.85,22.07,0.0,1634.0
22.17,21.78,22.27,22.66,22.27,0.0,1674.0
22.27,21.87,22.56,22.75,22.07,0.0,1713.0
