A1,A2,A3,A4,A5,time
23.34,23.24,23.73,23.73,23.14,8.0
23.34,23.24,23.63,23.73,23.24,15.0
23.24,23.14,23.44,23.73,23.14,45.0
23.24,23.24,23.73,23.73,23.24,79.0
23.24,23.24,23.63,23.73,23.24,115.0
23.24,23.24,23.83,23.73,23.14,151.0
23.34,23.24,23.63,23.73,23.24,188.0
23.24,23.05,23.73,23.73,23.24,224.0
23.24,23.24,23.73,23.73,23.24,261.0
23.24,23.24,23.63,23.73,23.24,297.0
23.24,23.24,23.73,23.73,23.24,333.0
23.24,23.24,23.44,23.73,23.24,370.0
23.24,23.14,23.63,23.73,23.24,406.0
23.24,23.24,23.63,23.73,23.24,443.0
23.24,23.24,23.54,23.73,23.24,479.0
23.44,23.05,23.63,23.73,23.24,516.0
23.24,23.34,23.63,23.73,23.24,551.0
23.34,23.24,23.44,23.73,23.24,588.0
23.14,23.24,23.63,23.73,23.14,624.0
23.24,23.24,23.63,23.73,23.24,661.0
23.24,23.24,23.73,23.83,23.14,698.0
23.24,23.14,23.63,23.73,23.24,734.0
23.34,23.14,23.54,23.73,23.24,771.0
23.24,23.24,23.73,23.73,23.14,806.0
23.24,23.14,23.73,23.73,23.24,843.0
23.24,23.24,23.73,23.73,23.24,879.0
23.34,23.24,23.73,23.73,23.24,916.0
23.34,23.14,23.63,23.73,23.24,952.0
23.24,23.24,23.73,23.73,23.24,989.0
23.24,23.24,23.54,23.73,23.24,1026.0
23.24,23.24,23.73,23.73,23.14,1062.0
23.05,23.24,23.73,23.73,23.24,1100.0
23.24,23.24,23.44,23.73,23.14,1137.0
23.14,23.24,23.63,23.73,23.24,1175.0
23.34,23.24,23.63,23.73,23.24,1212.0
23.24,23.24,23.63,23.63,23.24,1250.0
23.34,23.24,23.63,23.73,23.24,1287.0
23.34,23.24,23.73,23.73,23.24,1325.0
23.44,23.14,23.54,23.73,23.14,1362.0
23.24,23.24,23.63,23.63,23.24,1399.0
23.24,23.24,23.63,23.73,23.14,1437.0
23.24,23.24,23.63,23.63,23.14,1474.0
23.24,23.24,23.63,23.73,23.24,1512.0
23.24,23.24,23.63,23.73,23.24,1549.0
23.24,23.05,23.63,23.83,23.24,1587.0
23.24,23.24,23.73,23.73,23.14,1625.0
23.24,23.14,23.63,23.73,23.24,1661.0
23.24,23.14,23.73,23.73,23.24,1699.0
23.24,23.24,23.63,23.73,23.24,1736.0
23.24,23.24,23.73,23.73,23.14,1774.0
23.24,23.14,23.63,23.73,23.24,1811.0
23.34,23.24,23.73,23.73,23.24,1849.0
23.24,23.24,23.73,23.83,23.14,1886.0
23.24,23.24,23.73,23.73,23.14,1924.0
23.24,23.24,23.63,23.73,23.24,1961.0
23.24,23.24,23.63,23.63,23.24,1998.0
23.44,23.14,23.54,23.73,23.05,2036.0
23.24,23.24,23.73,23.73,23.24,2073.0
23.24,23.24,23.73,23.73,23.14,2111.0
23.34,23.14,23.54,23.73,23.24,2148.0
23.34,23.24,23.63,23.73,23.24,2186.0
23.34,23.24,23.63,23.63,23.24,2224.0
23.24,23.24,23.73,23.73,23.24,2260.0
23.54,23.24,23.73,23.73,23.24,2298.0
23.24,23.24,23.63,23.73,23.24,2335.0
23.24,23.24,23.63,23.83,23.24,2373.0
23.24,23.24,23.73,23.83,23.24,2410.0
23.24,23.24,23.54,23.73,23.24,2448.0
23.24,23.24,23.63,23.93,23.24,2485.0
23.44,23.24,23.63,23.73,23.24,2523.0
23.24,23.24,23.73,23.83,23.24,2561.0
23.34,23.24,23.63,23.73,23.24,2597.0
23.24,23.24,23.73,23.73,23.24,2635.0
23.44,23.24,23.63,23.73,23.24,2672.0
23.24,23.24,23.63,23.73,23.14,2710.0
23.34,23.24,23.54,23.73,23.14,2747.0
23.24,23.24,23.63,23.73,23.24,2785.0
23.24,23.24,23.63,23.73,23.24,2823.0
23.34,23.24,23.73,23.63,23.24,2860.0
23.34,23.24,23.54,23.73,23.24,2897.0
23.14,23.24,23.54,23.63,23.24,2934.0
23.34,23.14,23.73,23.73,23.24,2972.0
23.24,23.24,23.54,23.73,23.24,3009.0
23.34,23.24,23.54,23.73,23.24,3047.0
23.24,23.24,23.44,23.73,23.24,3084.0
23.24,23.24,23.63,23.73,23.14,3122.0
23.34,23.24,23.54,23.73,23.24,3160.0
23.24,23.24,23.63,23.83,23.14,3196.0
23.24,23.24,23.63,23.73,23.24,3234.0
23.34,23.34,23.63,23.73,23.24,3271.0
23.24,23.24,23.63,23.73,23.24,3309.0
23.24,23.24,23.63,23.73,23.14,3346.0
23.44,23.14,23.63,23.63,23.24,3384.0
23.24,23.24,23.73,23.73,23.24,3422.0
23.34,23.24,23.73,23.73,23.24,3459.0
23.34,23.24,23.73,23.73,23.24,3496.0
23.24,23.24,23.63,23.73,23.24,3533.0
23.34,23.24,23.63,23.73,23.24,3571.0
23.34,23.24,23.73,23.73,23.24,3608.0
23.24,23.24,23.73,23.73,23.14,3646.0
23.24,23.24,23.73,23.83,23.24,3683.0
23.24,23.24,23.63,23.73,23.24,3721.0
23.34,23.14,23.73,23.73,23.14,3759.0
23.34,23.24,23.63,23.63,23.14,3795.0
23.34,23.24,23.63,23.63,23.24,3833.0
23.34,23.24,23.73,23.73,23.24,3870.0
23.34,23.24,23.63,23.73,23.14,3908.0
23.24,23.24,23.63,23.73,23.24,3945.0
23.24,23.24,23.63,23.73,23.24,3983.0
23.24,23.24,23.63,23.73,23.24,4021.0
23.24,23.14,23.73,23.73,23.24,4058.0
23.24,23.24,23.63,23.73,23.24,4096.0
23.24,23.14,23.73,23.73,23.14,4132.0
23.24,23.24,23.73,23.63,23.14,4170.0
23.24,23.24,23.73,23.63,23.24,4207.0
23.24,23.14,23.54,23.73,23.24,4245.0
23.24,23.24,23.73,23.63,23.14,4282.0
23.24,23.24,23.73,23.73,23.24,4320.0
23.34,23.14,23.44,23.73,23.24,4358.0
23.24,23.24,23.63,23.73,23.24,4395.0
23.24,23.24,23.63,23.73,23.24,4432.0
23.24,23.24,23.63,23.63,23.24,4469.0
23.24,23.24,23.54,23.73,23.14,4507.0
23.24,23.14,23.63,23.73,23.14,4544.0
23.24,23.24,23.73,23.73,23.14,4582.0
23.44,23.24,23.63,23.73,23.05,4620.0
23.24,23.24,23.63,23.73,23.14,4657.0
23.24,23.05,23.54,23.63,23.14,4695.0
23.34,23.24,23.73,23.83,23.14,4731.0
23.24,23.24,23.73,23.73,23.24,4769.0
23.24,23.24,23.73,23.63,23.24,4806.0
23.24,23.14,23.63,23.73,23.24,4844.0
23.34,23.24,23.63,23.63,23.14,4881.0
23.24,23.14,23.54,23.73,23.24,4919.0
23.44,23.14,23.63,23.73,23.24,4957.0
23.24,23.24,23.44,23.63,23.24,4994.0
23.44,23.34,23.63,23.73,23.24,5031.0
23.24,23.05,23.73,23.73,23.24,5068.0
23.24,23.24,23.63,23.73,23.14,5106.0
23.34,23.24,23.54,23.73,23.24,5143.0
23.34,23.24,23.54,23.73,23.14,5181.0
23.24,23.24,23.73,23.73,23.24,5219.0
23.44,23.24,23.44,23.83,23.24,5256.0
23.24,23.14,23.63,23.73,23.14,5294.0
23.24,23.24,23.54,23.73,23.14,5330.0
23.24,23.14,23.63,23.73,23.14,5368.0
23.34,23.24,23.63,23.73,23.24,5405.0
23.24,23.24,23.73,23.73,23.14,5443.0
23.44,23.24,23.73,23.73,23.14,5480.0
23.24,23.24,23.73,23.73,23.14,5518.0
23.24,23.24,23.73,23.83,23.05,5556.0
23.24,23.24,23.63,23.73,23.14,5593.0
23.34,23.14,23.44,23.73,23.05,5630.0
23.24,23.24,23.73,23.73,23.24,5667.0
23.24,23.24,23.63,23.73,23.24,5705.0
23.24,23.24,23.73,23.73,23.05,5742.0
23.34,23.24,23.73,23.73,23.24,5780.0
23.14,23.24,23.63,23.73,23.14,5818.0
23.24,23.14,23.44,23.83,23.24,5855.0
23.24,23.24,23.63,23.73,23.24,5893.0
23.24,23.24,23.73,23.73,23.24,5929.0
23.24,23.24,23.63,23.73,23.24,5967.0
23.24,23.24,23.73,23.73,23.24,6004.0
23.24,23.24,23.63,23.73,23.24,6042.0
23.24,23.24,23.44,23.73,23.24,6079.0
23.24,23.24,23.63,23.73,23.05,6117.0
23.24,23.24,23.63,23.73,23.14,6155.0
23.24,23.24,23.73,23.73,23.24,6192.0
23.24,23.24,23.73,23.73,23.14,6230.0
23.24,23.14,23.73,23.73,23.24,6266.0
23.24,23.24,23.63,23.73,23.24,6304.0
23.24,23.24,23.73,23.73,23.24,6341.0
23.34,23.24,23.73,23.73,23.24,6379.0
23.24,23.24,23.44,23.73,23.24,6417.0
23.24,23.14,23.54,23.83,23.24,6454.0
23.24,23.05,23.54,23.73,23.24,6492.0
23.24,23.24,23.73,23.73,23.14,6529.0
23.24,23.24,23.63,23.63,23.24,6566.0
23.24,23.24,23.73,23.63,23.24,6603.0
23.24,23.24,23.63,23.73,23.14,6641.0
23.34,23.14,23.73,23.73,23.24,6678.0
23.14,23.14,23.54,23.73,23.14,6716.0
23.34,23.24,23.54,23.83,23.14,6754.0
23.24,23.24,23.73,23.73,23.24,6791.0
23.24,23.14,23.63,23.73,23.24,6829.0
23.34,23.24,23.44,23.73,23.24,6865.0
23.24,23.24,23.54,23.73,23.14,6903.0
23.24,23.24,23.63,23.73,23.24,6940.0
23.24,23.24,23.63,23.73,23.14,6978.0
23.34,23.24,23.73,23.73,23.24,7016.0
23.24,23.14,23.63,23.73,23.14,7053.0
23.24,23.24,23.54,23.73,23.24,7091.0
23.24,23.24,23.63,23.73,23.24,7128.0
23.24,23.24,23.73,23.63,23.05,7165.0
23.24,23.24,23.73,23.73,23.24,7202.0
23.24,23.24,23.73,23.73,23.24,7240.0
23.24,23.24,23.63,23.73,23.24,7277.0
23.24,23.24,23.73,23.73,23.05,7315.0
23.24,23.14,23.63,23.73,23.24,7353.0
23.24,23.24,23.63,23.73,23.24,7390.0
23.24,23.24,23.63,23.73,23.24,7428.0
23.24,23.24,23.83,23.73,23.05,7464.0
23.24,23.24,23.54,23.63,23.24,7502.0
23.24,23.24,23.63,23.73,23.14,7539.0
23.24,23.24,23.63,23.54,23.14,7577.0
23.24,23.24,23.73,23.73,23.14,7615.0
23.14,23.24,23.73,23.73,23.14,7652.0
23.24,23.14,23.54,23.63,23.14,7690.0
23.24,23.24,23.63,23.73,23.24,7727.0
23.24,23.24,23.54,23.73,23.14,7764.0
23.14,23.24,23.54,23.73,23.05,7801.0
23.24,23.24,23.63,23.63,23.14,7839.0
23.05,23.24,23.73,23.63,23.24,7876.0
23.24,23.24,23.63,23.73,23.24,7914.0
23.14,23.24,23.63,23.73,23.05,7952.0
23.24,23.24,23.54,23.73,23.14,7989.0
